Embedding,Class,Precision,Recall,F1-Score,Support
TF-IDF,World,0.9287245444801715,0.9121052631578948,0.920339883165162,1900.0
TF-IDF,Sports,0.955200823892894,0.9763157894736842,0.9656428943258719,1900.0
TF-IDF,Business,0.8813916710595677,0.88,0.8806952857519094,1900.0
TF-IDF,Sci/Tech,0.8886543535620053,0.8863157894736842,0.8874835309617918,1900.0
Skip-gram,World,0.906501880709296,0.8878947368421053,0.8971018346184525,1900.0
Skip-gram,Sports,0.946319018404908,0.9742105263157895,0.9600622406639004,1900.0
Skip-gram,Business,0.856687898089172,0.8494736842105263,0.8530655391120507,1900.0
Skip-gram,Sci/Tech,0.8641390205371248,0.8636842105263158,0.8639115556725454,1900.0
CBOW,World,0.8926673751328374,0.8842105263157894,0.88841882601798,1900.0
CBOW,Sports,0.9404761904761905,0.9563157894736842,0.9483298538622129,1900.0
CBOW,Business,0.8384697130712009,0.8305263157894737,0.8344791115811739,1900.0
CBOW,Sci/Tech,0.8429621848739496,0.8447368421052631,0.8438485804416404,1900.0
FastText,World,0.9050429184549357,0.8878947368421053,0.8963868225292242,1900.0
FastText,Sports,0.9519131334022751,0.9689473684210527,0.9603547209181011,1900.0
FastText,Business,0.8483263598326359,0.8536842105263158,0.85099685204617,1900.0
FastText,Sci/Tech,0.8661375661375661,0.861578947368421,0.8638522427440634,1900.0
